#Código de Concepto,Descripción,Previsiones Iniciales,,Modificaciones.,Previsiones Definitivas,DR Netos
11200,DE NATURALEZA  RUSTICA,157550.77,,0.0,157550.77,183091.75
11300,DE NATURALEZA URBANA,23330920.55,,0.0,23330920.55,22640250.2
11500,IMPUESTO SOBRE VEHÍCULOS DE TRACCIÓN MECANICA,1699762.31,,0.0,1699762.31,1952392.7
11600,IMPSTO.S/INCRMTO.VALOR TERRENOS NATURALEZA URBANA,4271310.3,,0.0,4271310.3,13044294.12
13000,IMPUESTO SOBRE ACTIVIDADES ECONOMICAS,2432400.0,,0.0,2432400.0,2957990.96
29000,"IMPUESTO S/ INSTALACIONES, CONSTRUCCIONES Y OBRAS",2058974.98,,0.0,2058974.98,4198612.5
29100,COTOS DE CAZA Y PESCA,168.81,,0.0,168.81,251.46
30000,SERVICIO DE ABASTECIMIENTO  DE AGUA,15050475.0,,0.0,15050475.0,15551434.76
30100,SERVICIO DE ALCANTARILLADO,4282037.5,,0.0,4282037.5,4525917.6
30200,SERVICIO DE RECOGIDA DE BASURA,6136045.64,,0.0,6136045.64,7129652.03
30500,CEMENTERIOS,34459.0,,0.0,34459.0,32329.95
32100,LICENCIAS URBANÍSTICAS,260760.86,,0.0,260760.86,237180.17
32200,CÉDULA DE HABITABILIDAD Y PRIMERA OCUPACIÓN,33192.56,,0.0,33192.56,173388.2
32500,TASAS POR EXPEDICIÓN DE DOCUMENTOS,121620.0,,0.0,121620.0,112014.76
32600,RETIRADA DE VEHÍCULOS DE LA VÍA PÚBLICA,386210.3,,0.0,386210.3,382449.41
32700,LICENCIA DE APERTURA DE ESTABLECIMIENTOS,253750.0,,0.0,253750.0,246607.08
32901,"PLACAS, PATENTES, DISTINTIVOS Y OTROS",8000.0,,0.0,8000.0,5618.2
32902,LICENCIA DE AUTO TAXIS Y VEHICULOS DE ALQUILER,6000.0,,0.0,6000.0,901.52
32903,TENENCIA Y CIRCULACIÓN DE ANIMALES,1000.0,,0.0,1000.0,871.9
33100,ENTRADA VEHÍCULOS EDIFICIOS Y RESERVA APARCAMIENTO,266184.95,,0.0,266184.95,320479.06
33200,TASAS UTIL. PRIV. Y APROV. ESP.EMP.EXP.SERV. SUMT.,784613.6,,0.0,784613.6,823736.63
33400,CALICATAS Y ZANJAS EN LA VIA PUBLICA,5000.0,,0.0,5000.0,9011.61
33500,OCUPACIÓN DE LA VÍA PÚBLICA CON MESAS Y SILLAS,84000.0,,0.0,84000.0,85619.54
33600,TASAS OCUPAC.VÍA PÚB.SUSPENSIÓN TEMP.TRÁFIC.RODADO,1000.0,,0.0,1000.0,0.0
33800,COMPENSACIÓN TELEFÓNICA DE ESPAÑA S.A.,180000.0,,0.0,180000.0,193160.0
33901,OTRAS TASAS POR UTILIZA.PRIVATIVA DOMINIO PÚBLICO,90000.0,,0.0,90000.0,86314.58
33902,TASA PUESTO MERCADO DEL AGRICULTOR,40000.0,,0.0,40000.0,46860.5
33903,TASAS OCUPACIÓN VÍA PUBLICA CON KIOSKO FIESTA,21000.0,,0.0,21000.0,19512.8
33904,OTRAS TASAS OCUPACIÓN VÍA PUBLICA,32000.0,,0.0,32000.0,46080.93
34100,CENTRO DE DISCAPACITADOS,41000.0,,0.0,41000.0,44646.5
34101,RESIDENCIA DE MAYORES Y CENTRO DE DÍA.,155000.0,,0.0,155000.0,134918.51
34200,ESCUELA INFANTIL,155000.0,,0.0,155000.0,164372.55
34201,UNIVERSIDAD DE VERANO,10000.0,,0.0,10000.0,5425.0
34202,UNIVERSIDAD POPULAR,15000.0,,0.0,15000.0,20718.0
34203,ESCUELA DE SEGURIDAD,0.0,,0.0,0.0,280.0
34204,INSTALACIONES CULTURALES,1200.0,,0.0,1200.0,555.0
34205,SERVICIO CENTRO DE DÍA,100.0,,0.0,100.0,0.0
34206,ESCUELA DE MÚSICA,110000.0,,0.0,110000.0,109496.0
34300,CAMPAÑA DEPORTIVA,175000.0,,0.0,175000.0,189777.25
34301,INSTALACIONES DEPORTIVAS,13000.0,,0.0,13000.0,9903.0
34900,OTROS PRECIOS PÚBLICOS,1000.0,,0.0,1000.0,2560.0
34902,EMISORA MUNICIPAL,5000.0,,0.0,5000.0,3597.87
34906,ACTIVIDADES DE JUVENTUD Y MAYORES,3500.0,,9120.0,12620.0,18058.6
34907,ACTIVIDADES Y SERV. PRESTADOS CDTCA,11000.0,,0.0,11000.0,1225.0
34910,CELEBRACIÓN DE MATRIMONIOS CIVILES,2000.0,,0.0,2000.0,1920.0
36000,VENTAS DE ENERGÍA ACTIVA,60000.0,,0.0,60000.0,105216.34
36001,VENTA DE AGUA DESALADA,3300000.0,,0.0,3300000.0,3010475.51
36002,VENTA DE AGUA DEPURADA,1650000.0,,0.0,1650000.0,1714621.54
36003,VENTAS DE RESIDUOS,230000.0,,0.0,230000.0,226241.07
36004,Ingresos transporte recogida selectiva,120000.0,,0.0,120000.0,157872.78
38900,REINTEGROS DE OPERACIONES CORRIENTES DE EJERCICIOS CERRADOS,0.0,,0.0,0.0,372447.32
39100,MULTAS POR INFRACCIONES URBANISTICAS,20000.0,,0.0,20000.0,20500.0
39110,MULTAS POR INFRACCIONES TRIBUTARIAS Y ANÁLOGAS,40000.0,,0.0,40000.0,363530.66
39120,MULTAS POR LA INFRAC.DE LA ORDENANZA DE CIRCULACIO,135000.0,,0.0,135000.0,195752.0
39190,OTRAS MULTAS Y SANCIONES,40000.0,,0.0,40000.0,489765.22
39200,RECARGOS POR DECLARACIÓN EXTEMPOR.SIN REQ.PREVIO,20000.0,,0.0,20000.0,0.0
39210,RECARGO EJECUTIVO,40000.0,,0.0,40000.0,36297.65
39211,RECARGO DE APREMIO,450000.0,,0.0,450000.0,474923.45
39300,INTERESES DE DEMORA,325000.0,,0.0,325000.0,410160.09
39710,OTROS INGRESOS POR APROVECHAMIENTOS URBANÍSTICOS,0.0,,1274263.37,1274263.37,1563713.36
39901,RECURSOS EVENTUALES,10000.0,,0.0,10000.0,188819.17
39902,INGRESOS DERIVADOS DE LAS PUBLICACIONES,5000.0,,0.0,5000.0,7738.92
39904,COSTAS,37000.0,,0.0,37000.0,46861.41
42000,PARTICIPACIÓN EN TRIBUTOS DEL ESTADO,8573453.16,,0.0,8573453.16,8319879.21
42100,DEL SERVICIO PÚBLICO DE EMPLEO ESTATAL,0.0,,34943.91,34943.91,34943.91
44100,TRANSFERENCIAS DE SOCIEDADES MERCANTILES DE LA ENTIDAD LOCAL,0.0,,1200.0,1200.0,1200.0
45000,PARTICIPACIÓN EN TRIBUTOS DE LA COMUNIDAD AUTÓNOMA,4481787.82,,480708.32,4962496.14,2652498.81
45002,TRANSFERENCIAS CC.AA.MATERIA SER.SOC.Y POL.IGUALD,0.0,,93112.75,93112.75,65163.01
45003,Plan concertado de prestaciones básicas,0.0,,107803.4,107803.4,107803.4
45080,OTRAS SUBVENCIONES CORRIENTES DE LA ADMTRACIÓN GENERAL DE LA CC.AA,0.0,,0.0,0.0,128815.53
45100,SERVICIO CANARIO DE EMPLEO,0.0,,1818231.68,1818231.68,1129211.03
46100,REGIMEN ECONOMICO Y FISCAL DE CANARIAS,5514715.08,,0.0,5514715.08,6486985.99
46101,"DE DIPUTACIONES,CONSEJOS O CABILDOS",0.0,,60488.32,60488.32,642212.86
46102,INGRESOS POR EL IMPUESTO GENERAL TRÁFICO DE EMPRESAS,421616.61,,0.0,421616.61,401632.0
46601,FEDERACIÓN CANARIA DE MUNICIPIOS,0.0,,0.0,0.0,9343.08
47000,DE EMPRESAS PRIVADAS,0.0,,9300.0,9300.0,9300.0
48000,DE FAMILIAS E INSTITUCIONES SIN FINES DE LUCRO,0.0,,32343.08,32343.08,35000.0
52000,INTERESES DE DEPÓSITOS EN CAJAS Y BANCOS,10000.0,,0.0,10000.0,7505.5
55000,CONCESIONES ADMTRATIVAS CON CONTRAPREST.PERIODICA,450000.0,,0.0,450000.0,599366.69
55200,DERECHO DE SUPERFICIE CON CONTRAPRESTACIÓN PERIODI,11000.0,,0.0,11000.0,10670.49
59900,AGUAS DE PROPIO,11000.0,,0.0,11000.0,12523.01
60300,PARCELA MUNICIPAL ZONA S13-3 SECTOR 8 DEL PATRIMONIO PÚBLICO DEL SUELO,3029999.0,,0.0,3029999.0,0.0
75080,OTRAS TRANSFERENCIAS DE CAPITAL DE LA ADMTRACIÓN GRAL DE LA CCAA,0.0,,2554671.51,2554671.51,2631445.16
76100,"De Diputaciones, Consejos o Cabildos",0.0,,15000.0,15000.0,315000.0
83000,REINTEGROS ANTICIPOS DE PAGA AL PERSONAL A C/P,60000.0,,0.0,60000.0,62030.06
83100,REINTEGROS ANTICIPOS DE PAGA AL PERSONAL A L/P,100000.0,,0.0,100000.0,54111.06
87000,PARA GASTOS GENERALES,0.0,,17658799.54,17658799.54,0.0
87010,PARA GASTOS CON FINANCIACIÓN AFECTADA,0.0,,3647492.98,3647492.98,0.0
